2025-07-18 21:05:36,728 - ERROR - Error de validación: [{'type': 'value_error', 'loc': ('body', 'email'), 'msg': 'value is not a valid email address: An email address must have an @-sign.', 'input': '', 'ctx': {'reason': 'An email address must have an @-sign.'}}] | Ruta: http://localhost:8000/auth/login
2025-07-18 21:22:07,936 - ERROR - Error de validación: [{'type': 'value_error', 'loc': ('body', 'email'), 'msg': 'value is not a valid email address: An email address must have an @-sign.', 'input': '', 'ctx': {'reason': 'An email address must have an @-sign.'}}] | Ruta: http://localhost:8000/auth/login
2025-07-18 21:28:45,934 - ERROR - Error de validación: [{'type': 'value_error', 'loc': ('body', 'email'), 'msg': 'value is not a valid email address: An email address must have an @-sign.', 'input': '', 'ctx': {'reason': 'An email address must have an @-sign.'}}] | Ruta: http://localhost:8000/auth/login
2025-07-18 21:30:49,832 - ERROR - Error de validación: [{'type': 'value_error', 'loc': ('body', 'email'), 'msg': 'value is not a valid email address: An email address must have an @-sign.', 'input': '', 'ctx': {'reason': 'An email address must have an @-sign.'}}] | Ruta: http://localhost:8000/auth/login
2025-07-18 21:45:40,793 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-18 21:45:46,203 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 13:36:20,935 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 13:37:44,028 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 13:37:45,276 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 13:37:45,597 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 13:37:45,753 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 13:44:32,044 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 13:47:40,143 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 13:48:24,323 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 14:12:54,664 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 14:17:40,380 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
2025-07-19 14:18:42,738 - ERROR - HTTPException: Not authenticated | Ruta: http://localhost:8000/predict/
